condition,n,mean,median,q25,q75,min,max
10%,12,1.0,1.0,1.0,1.0,1.0,1.0
20%,12,0.029166666666666664,0.0,0.0,0.05,0.0,0.15
30%,12,0.0,0.0,0.0,0.0,0.0,0.0
