condition,n,mean,median,q25,q75,min,max
100%,12,1.0,1.0,1.0,1.0,1.0,1.0
40%,12,0.07395126046758511,0.0720328295864669,0.05609908415452613,0.08411470615392624,0.0424773007610201,0.13606191768208697
60%,12,0.19194066614963812,0.18553391769252753,0.16608131701712692,0.2129568767402634,0.13029234075335522,0.27319178178352
80%,12,0.37220847345851604,0.36567429310211563,0.3277230169310431,0.41796632765447006,0.27447401948968697,0.4789738444474104
