condition,n,mean,median,q25,q75,min,max
K2,12,0.7130033564888191,0.7060080242995739,0.6156782998872801,0.8140682846565199,0.5640326975476839,0.851215644820296
K3,12,1.0,1.0,1.0,1.0,1.0,1.0
K4,12,0.9268274283228718,0.920212761445407,0.9038007723112128,0.9516195440958546,0.8925518925518926,0.9728930507639231
