condition,n,mean,median,q25,q75,min,max
10%,12,1.0,1.0,1.0,1.0,1.0,1.0
20%,12,0.038844630037269526,0.030168303344481083,0.00796933745925799,0.04588911550824063,0.0029622727246581882,0.1290832583367791
30%,12,0.0008993872534540414,0.00036510291059965066,1.876442838426943e-05,0.0006781318955300278,4.891314981119524e-06,0.006393695033795245
