condition,n,mean,median,q25,q75,min,max
100%,12,1.0,1.0,1.0,1.0,1.0,1.0
40%,12,0.020833333333333332,0.0,0.0,0.0125,0.0,0.15
60%,12,0.016666666666666666,0.0,0.0,0.0,0.0,0.15
80%,12,0.20833333333333334,0.1,0.05,0.2,0.0,0.75
