source_label	target_label	freq	synergy_max	synergy_min	synergy_mean	env_list
Methylobacterium adhaesivum	Gemmatimonas	1	9.868649107779168e-32	2.467162276944792e-32	6.01370805005293e-32	['Plant_surface']
Methylobacterium adhaesivum	SMB53	1	9.868649107779168e-32	2.467162276944792e-32	4.934324553889584e-32	['Sediment_(saline)']
Methylobacterium adhaesivum	Zymomonas	1	1.480297366166875e-31	2.467162276944792e-32	7.366738066370362e-32	['Plant_surface']
Methylobacterium adhaesivum	Oribacterium	1	3.947459643111667e-31	3.947459643111667e-31	3.947459643111667e-31	['Plant_rhizosphere']
Methylobacterium adhaesivum	Pedobacter cryoconitis	1	1.480297366166875e-31	2.467162276944792e-32	7.401486830834374e-32	['Water_(saline)']
Methylobacterium adhaesivum	WAL_1855D	1	1.480297366166875e-31	1.233581138472396e-31	1.3569392523196354e-31	['Animal_surface']
Methylobacterium adhaesivum	Haemophilus	1	5.921189464667501e-31	3.947459643111667e-31	4.605369583630278e-31	['Sediment_(saline)']
Methylobacterium adhaesivum	Segetibacter	1	1.233581138472396e-31	2.467162276944792e-32	6.579099405186112e-32	['Sediment_(saline)']
Methylobacterium adhaesivum	DA101	1	3.66264868074896e-05	2.467162276944792e-32	4.0696096452766224e-06	['Sediment_(saline)']
Methylobacterium adhaesivum	Oscillospira guilliermondii	1	2.467162276944792e-32	2.467162276944792e-32	2.467162276944792e-32	['Animal_surface']
Methylobacterium adhaesivum	Campylobacter	1	9.868649107779168e-32	2.467162276944792e-32	6.579099405186111e-32	['Plant_rhizosphere']
Methylobacterium adhaesivum	Opitutus	1	3.700743415417188e-31	1.480297366166875e-31	2.5165055224836873e-31	['Plant_rhizosphere']
Methylobacterium adhaesivum	Agrobacterium	1	4.934324553889584e-31	4.934324553889584e-31	4.934324553889584e-31	['Sediment_(saline)']
Methylobacterium adhaesivum	Opitutus	1	1.480297366166875e-31	2.467162276944792e-32	7.775299297038132e-32	['Plant_surface']
Methylobacterium adhaesivum	Acinetobacter johnsonii	1	1.480297366166875e-31	4.934324553889584e-32	1.0691036533427431e-31	['Sediment_(saline)']
Methylobacterium adhaesivum	Cloacibacterium	1	2.96059473233375e-31	4.934324553889584e-32	1.480297366166875e-31	['Sediment_(saline)']
Methylobacterium adhaesivum	Sediminibacterium	1	4.934324553889584e-32	2.467162276944792e-32	4.11193712824132e-32	['Plant_rhizosphere']
Methylobacterium adhaesivum	Clostridium butyricum	1	9.868649107779168e-32	2.467162276944792e-32	5.427757009278542e-32	['Plant_rhizosphere']
Methylobacterium adhaesivum	Flavobacterium succinicans	1	9.868649107779168e-32	7.401486830834373e-32	8.223874256482639e-32	['Animal_surface']
Methylobacterium adhaesivum	Stenotrophomonas	1	1.9737298215558336e-31	1.9737298215558336e-31	1.9737298215558336e-31	['Plant_rhizosphere']
Methylobacterium adhaesivum	Corynebacterium	1	2.2243186146297973e-07	2.467162276944792e-32	4.448637229259594e-08	['Sediment_(non-saline)']
Novosphingobium	Candidatus Solibacter	1	9.868649107779168e-32	2.467162276944792e-32	5.805087710458332e-32	['Sediment_(non-saline)']
Novosphingobium	Blastococcus aggregatus	1	9.951578932214287e-32	2.487894733053572e-32	7.463684199160714e-32	['Animal_proximal_gut']
