N	precision	baseline	lift
200	0.005	0.001373534338358459	3.6402439024390247
213	0.004694835680751174	0.001373534338358459	3.4180693919615255
227	0.00881057268722467	0.001373534338358459	6.4145267003330835
242	0.012396694214876033	0.001373534338358459	9.025398105220722
258	0.011627906976744186	0.001373534338358459	8.465683494044242
275	0.01090909090909091	0.001373534338358459	7.942350332594236
293	0.010238907849829351	0.001373534338358459	7.4544243735952715
300	0.01	0.001373534338358459	7.2804878048780495
312	0.009615384615384616	0.001373534338358459	7.000469043151971
332	0.009036144578313253	0.001373534338358459	6.578754040552454
354	0.00847457627118644	0.001373534338358459	6.169904919388177
377	0.007957559681697613	0.001373534338358459	5.793491621918872
400	0.0075	0.001373534338358459	5.460365853658536
402	0.007462686567164179	0.001373534338358459	5.433199854386603
428	0.007009345794392523	0.001373534338358459	5.1031456576248
456	0.006578947368421052	0.001373534338358459	4.7897946084724
486	0.006172839506172839	0.001373534338358459	4.494128274616079
500	0.006	0.001373534338358459	4.368292682926829
518	0.005791505791505791	0.001373534338358459	4.216498728693851
552	0.005434782608695652	0.001373534338358459	3.9567868504772004
588	0.00510204081632653	0.001373534338358459	3.714534594325535
600	0.005	0.001373534338358459	3.6402439024390247
626	0.004792332268370607	0.001373534338358459	3.489051663679576
667	0.004497751124437781	0.001373534338358459	3.2745822210845796
711	0.004219409282700422	0.001373534338358459	3.0719357826489655
758	0.00395778364116095	0.001373534338358459	2.8814595533818137
800	0.00375	0.001373534338358459	2.730182926829268
807	0.0037174721189591076	0.001373534338358459	2.7065010427055944
860	0.0034883720930232558	0.001373534338358459	2.539705048213273
916	0.0032751091703056767	0.001373534338358459	2.3844392374054744
976	0.0030737704918032786	0.001373534338358459	2.237854858056777
1000	0.004	0.001373534338358459	2.91219512195122
1040	0.0038461538461538464	0.001373534338358459	2.8001876172607885
1109	0.0036068530207394047	0.001373534338358459	2.625964943148079
1181	0.003386960203217612	0.001373534338358459	2.46587224551331
1258	0.003179650238473768	0.001373534338358459	2.3149404784985848
1341	0.002982848620432513	0.001373534338358459	2.171659300485622
1429	0.0027991602519244225	0.001373534338358459	2.0379252078035126
1500	0.0026666666666666666	0.001373534338358459	1.9414634146341463
1522	0.002628120893561104	0.001373534338358459	1.9134002115316817
1622	0.002466091245376079	0.001373534338358459	1.7954347237677064
1728	0.0023148148148148147	0.001373534338358459	1.6852981029810297
1841	0.0021727322107550242	0.001373534338358459	1.5818550363667676
1962	0.0020387359836901123	0.001373534338358459	1.4842992466621916
2000	0.002	0.001373534338358459	1.45609756097561
2090	0.0019138755980861245	0.001373534338358459	1.3933947951919712
2227	0.001796138302649304	0.001373534338358459	1.3076763008312615
2373	0.001685630004214075	0.001373534338358459	1.2272208689217108
2528	0.0015822784810126582	0.001373534338358459	1.1519759184933622
2694	0.0014847809948032665	0.001373534338358459	1.080992992557988
2870	0.0013937282229965157	0.001373534338358459	1.0147021330840487
3000	0.0013333333333333333	0.001373534338358459	0.9707317073170731
3058	0.0013080444735120995	0.001373534338358459	0.9523201837642968
3259	0.00122737035900583	0.001373534338358459	0.8935854930810738
3472	0.001152073732718894	0.001373534338358459	0.8387658761380241
3699	0.0013517166801838335	0.001373534338358459	0.9841156805728641
3942	0.0012683916793505834	0.001373534338358459	0.9234510153320711
4200	0.0014285714285714286	0.001373534338358459	1.0400696864111498
4475	0.0015642458100558658	0.001373534338358459	1.1388472543943315
4768	0.0014681208053691276	0.001373534338358459	1.0688635619577673
5000	0.0014	0.001373534338358459	1.0192682926829268
5080	0.0013779527559055118	0.001373534338358459	1.0032168235068177
5412	0.0012934220251293422	0.001373534338358459	0.9416743280514845
5767	0.0017340038148083927	0.001373534338358459	1.2624393627324517
6144	0.0017903645833333333	0.001373534338358459	1.3034727515243902
6547	0.0016801588513823125	0.001373534338358459	1.2232376027746836
6976	0.0017201834862385322	0.001373534338358459	1.252377489371224
7432	0.0017491926803013993	0.001373534338358459	1.2734975977316285
7919	0.0018941785578987247	0.001373534338358459	1.3790543891043154
8437	0.002014934218324049	0.001373534338358459	1.4669704004139723
8990	0.0020022246941045607	0.001373534338358459	1.4577172468053936
9579	0.0018791105543376136	0.001373534338358459	1.3680841474872627
10000	0.0018	0.001373534338358459	1.3104878048780488
10206	0.001763668430335097	0.001373534338358459	1.2840366498903084
10874	0.0019312120654772853	0.001373534338358459	1.4060165891340723
11586	0.0018988434317279475	0.001373534338358459	1.3824506448068106
12345	0.001863102470635885	0.001373534338358459	1.3564294816702724
13153	0.0019007070630274463	0.001373534338358459	1.3838074593016896
14014	0.0018552875695732839	0.001373534338358459	1.350739852482013
14932	0.0018081971604607555	0.001373534338358459	1.3164557375549646
15910	0.0017598994343180389	0.001373534338358459	1.281292636936426
16952	0.0017107126002831525	0.001373534338358459	1.2454822224012707
18062	0.0016055807773225556	0.001373534338358459	1.1689411269043484
19244	0.0017148202036998544	0.001373534338358459	1.2484727580595283
20000	0.00175	0.001373534338358459	1.2740853658536586
20504	0.001755754974639095	0.001373534338358459	1.2782752681213898
21847	0.0016935963747883006	0.001373534338358459	1.2330207753031897
23278	0.0016324426497121747	0.001373534338358459	1.1884978803392297
24802	0.0015724538343681962	0.001373534338358459	1.144823096485138
26426	0.0016271853477635662	0.001373534338358459	1.184670308066889
28156	0.0015627219775536298	0.001373534338358459	1.137737829999411
30000	0.0015333333333333334	0.001373534338358459	1.1163414634146342
