N	lift_mean	lift_lo	lift_hi	baseline
200	8.608243709113276	0.0	11.243058314858509	0.001373534338358459
213	8.130326928097952	0.0	10.556862267472779	0.001373534338358459
227	7.628897073501604	0.0	9.90577825097666	0.001373534338358459
242	7.1560315524167954	0.0	9.291783731288024	0.001373534338358459
258	6.712246649941324	0.0	8.715549081285666	0.001373534338358459
275	6.297307766126767	0.0	8.176769683533461	0.001373534338358459
293	5.910442442610464	0.0	7.674442535739596	0.001373534338358459
300	5.772532118949549	0.0	7.495372209905672	0.001373534338358459
312	5.550511652836096	0.0	7.207088663370839	0.001373534338358459
332	5.2161434809785066	0.0	6.772926695697897	0.001373534338358459
354	4.891976371991136	0.0	6.352010347377688	0.001373534338358459
377	4.593526885105739	0.0	5.964487169686212	0.001373534338358459
400	4.329399089212162	0.0	5.621529157429254	0.001373534338358459
402	4.307859790260849	0.0	5.593561350675874	0.001373534338358459
428	4.046167373095477	0.0	5.253765567690892	0.001373534338358459
456	3.7977184993089153	0.0	4.931165927569521	0.001373534338358459
486	3.5632914314503354	0.0	4.626772969077575	0.001373534338358459
500	3.463519271369721	0.0	4.497223325943404	0.001373534338358459
518	3.3431653198549514	0.0	4.340949156316026	0.001373534338358459
552	3.137245716820403	0.0	4.073571853209605	0.001373534338358459
588	2.9451694484436475	0.0	3.8241694948498326	0.001373534338358459
600	2.8862660594747744	0.0	3.747686104952836	0.001373534338358459
626	2.766389194384767	0.0	3.592031410497926	0.001373534338358459
667	2.59634128288585	0.0	3.371231878518293	0.001373534338358459
711	2.435667560738208	0.0	3.1626043079770767	0.001373534338358459
758	2.284643318845468	0.0	2.9665061516777067	0.001373534338358459
800	2.672385362092653	0.8879463034759685	3.731294376386287	0.001373534338358459
807	2.7736098973864522	0.8852784342029729	3.7069619566742356	0.001373534338358459
860	2.7059355761501855	0.84230295674556	3.4820796961286447	0.001373534338358459
916	2.5405072003156723	0.7908084528397179	3.2692014614308236	0.001373534338358459
976	2.3843284789847945	0.7421931790995714	3.0682259617526997	0.001373534338358459
1000	2.3271045954891587	0.7243805428011817	2.9945885386706346	0.001373534338358459
1040	2.237600572585727	0.6965197526934439	2.879412056414072	0.001373534338358459
1109	2.098381059954155	0.6531835372418229	2.7002601791439442	0.001373534338358459
1181	1.9704526634116484	0.6133620176131935	2.535638051372256	0.001373534338358459
1258	1.8498446705001268	0.5758191914158837	2.380436040278724	0.001373534338358459
1341	1.7353501830642497	0.5401793756906649	2.233101072834179	0.001373534338358459
1429	1.6284846714409797	0.5069143056691263	2.0955833020788206	0.001373534338358459
1500	1.5514030636594403	0.4829203618674544	1.9963923591137562	0.001373534338358459
1522	1.5289780522267797	0.4759399098562297	1.967535176524727	0.001373534338358459
1622	1.4347130675025639	0.4465971287306915	1.8462321446797993	0.001373534338358459
1728	1.3467040483154855	0.4192017030099431	1.7329794783973578	0.001373534338358459
1841	1.2640437781038338	0.39347123454708394	1.6266097439818763	0.001373534338358459
1962	1.186087969158593	0.36920516962343614	1.526293852533453	0.001373534338358459
2000	1.1635522977445794	0.36219027140059085	1.4972942693353173	0.001373534338358459
2090	1.1134471748751966	0.3465935611488907	1.4328174826175286	0.001373534338358459
2227	1.0449504245573231	0.325271909654774	1.344673793745233	0.001373534338358459
2373	0.9806593322752454	0.30525939435363747	1.2619420727647006	0.001373534338358459
2528	0.9205318811270398	0.2865429362346446	1.1845682510564217	0.001373534338358459
2694	0.8638101690754109	0.26888661573911715	1.1115770373684613	0.001373534338358459
2870	0.9629991372753623	0.25491345088375594	1.297821596125957	0.001373534338358459
3000	0.9679480530338653	0.3572086553050891	1.244663739136189	0.001373534338358459
3058	0.9495893260633086	0.35043360559688275	1.221056644018498	0.001373534338358459
3259	0.9207792926631644	0.4359355893100797	1.336550351512143	0.001373534338358459
3472	1.1672695012425605	0.6225794121266514	1.4953320683111955	0.001373534338358459
3699	1.0956365797010488	0.5843729978112283	1.403566623729784	0.001373534338358459
3942	1.0280973384865997	0.5483500047954676	1.3170453934998656	0.001373534338358459
4200	0.9649427876938519	0.5146656473580318	1.2361411764705883	0.001373534338358459
4475	1.288079972089537	0.6597810498258158	1.6429094178858823	0.001373534338358459
4768	1.3342472892431307	0.619236618701872	1.6961454718001796	0.001373534338358459
5000	1.2723382150222498	0.5905040395941052	1.6174443219086514	0.001373534338358459
5080	1.2523013927384357	0.5812047633800247	1.5919727577841056	0.001373534338358459
5412	1.2752461249585665	0.6697712086377574	1.6284791832385186	0.001373534338358459
5767	1.3029057917351627	0.6977740157640431	1.6555875587528062	0.001373534338358459
6144	1.3512779018807293	0.774937678573748	1.7496298658502125	0.001373534338358459
6547	1.3412373418086179	0.7951392522682078	1.6984489437389392	0.001373534338358459
6976	1.4882818093510757	1.0222352074062804	1.8491500967517844	0.001373534338358459
7432	1.4032259976546764	0.9615036272939776	1.738271833288282	0.001373534338358459
7919	1.3169308769503156	0.9023734004355148	1.631372176410975	0.001373534338358459
8437	1.4411451476755508	1.0370656789046517	1.7503879457010068	0.001373534338358459
8990	1.41121484582379	0.9970946712079113	1.7230465078885013	0.001373534338358459
9579	1.331445854374513	0.9626534542172329	1.6187936374123983	0.001373534338358459
10000	1.3349264798857738	0.9539280298515551	1.6244825407667334	0.001373534338358459
10206	1.3407579073481681	0.9346737505894133	1.6434180074560336	0.001373534338358459
10874	1.350069265379738	0.9247275903998976	1.6441889829064091	0.001373534338358459
11586	1.3015303317483322	0.9261538474021037	1.5821486793322885	0.001373534338358459
12345	1.3133699236809682	0.9349109919745519	1.587472830008664	0.001373534338358459
13153	1.2326884899142057	0.8774786129343757	1.489953021094576	0.001373534338358459
14014	1.197677381934087	0.8711138934437248	1.4405854249882883	0.001373534338358459
14932	1.2191620987903198	0.9178853200400029	1.4547068303194706	0.001373534338358459
15910	1.274359150823062	0.9826994127551952	1.4861107144086945	0.001373534338358459
16952	1.230450384325314	0.9509326448455226	1.436546918482075	0.001373534338358459
18062	1.1880799623426903	0.9143724217093224	1.3879539982799087	0.001373534338358459
19244	1.1747856979101259	0.9179631108632775	1.366277840714752	0.001373534338358459
20000	1.1305946813508325	0.8832641052726455	1.3146325383357342	0.001373534338358459
20504	1.1303023359429105	0.8853675487466341	1.317938069493816	0.001373534338358459
21847	1.1668511011343219	0.9378857330576162	1.3501591703413471	0.001373534338358459
23278	1.0951196841000732	0.8802298139921704	1.2671590082673518	0.001373534338358459
24802	1.190886552969688	0.9526435481621669	1.3718419625185438	0.001373534338358459
26426	1.168760761969745	0.9421894538819228	1.3418553152064336	0.001373534338358459
28156	1.1952129228009905	0.9760670689128407	1.3645422785342978	0.001373534338358459
30000	1.1438246552985212	0.9331212052998347	1.3052966518614229	0.001373534338358459
